Station, Cruise 1, Cruise 2, Cruise 3, Cruise 4, Cruise 5, Cruise 6, Cruise 7, Cruise 8
Vargem Grande, 69.7, 31.7, 57.1, 52.4, 38.8, 26.6, 51.5, 48.0
Rio Ica, 6.9, 7.3, 7.3, 6.4, 9.1, 5.8, 7.3, 8.4
Santo Antonio do Ica, 77.2, 38.9, 65.4, 59.6, 48.2, 32.6, 59.5, 56.4
Xibeco, 77.0, 38.7, 66.6, 60.4, 52.2, 32.2, 60.6, 57.0 
Rio Jutai, 7.0, 2.2, 2.6, 3.9, 4.2, 1.4, 3.8, 3.3 
Tupe, 83.0, 40.3, 62.7, 63.1, 59.5, 33.9, 63.1, 59.9
Rio Jurua, 4.6, 1.7, 3.9, 5.6, 3.1, 0.9, 5.2, 4.8
Rio Japura, nan, nan, nan, 9.0, 19.2, 14.7, 12.8, 16.7
Jutica, 96.0, 78.2, 71.3, 76.1, 86.1, 50.7, 81.7, 84.4 
Itapeua, 104.0, 86.6, 80.8, 89.5, 95.7, 51.8, 85.2, 104.0
Anori, 105.0, 85.3, 75.7, 84.3, 99.3, 54.5, 85.9, 105.0
Rio Purus, 20.0, 10.9, 5.0, 14.3, 15.0, 2.8, 10.7, 16.2 
Manacapuru, 125.0, 92.6, 82.6, 98.5, 113.0, 56.6, 101.0, 120.0
Rio Negro, 59.0, 40.3, 5.0, 8.3, 32.2, 12.4, 28.0, 46.3
Sao Jose do Amatari, nan, 139.0, 90.6, 107.0, 147.0, 75.3, 129.0, 174.0 
Rio Madeira, nan, 13.7, 23.1, 48.4, 24.7, 6.8, 42.1, 19.3 
Paura, nan, 156.0, 120.0, 159.0, 171.0, 81.7, 166.0, 202.0
Obidos, nan, 161.0, 123.0, 167.0, 177.0, 91.7, 177.0, 203.0
