Station, Cruise 1, Cruise 2, Cruise 3, Cruise 4, Cruise 5, Cruise 6, Cruise 7, Cruise 8
Vargem Grande, 282, 217, 470, 436, 299, 232, 486, 253
Rio Ica, 42, 68, 94, 88, 71, 99, 63, 65
Santo Antonio do Ica, 236, 154, 398, 317, 251, 179, 420, 218 
Xibeco, 235, 150, 419, 379, 233, 216, 442, 223 
Rio Jutai, 11, nan, 25, 20, 14, 32, 14, 10 
Tupe, 235, 185, 419, 338, 34, 211, 414, 201 
Rio Jurua, 46, 117, 400, 122, 186, 66, 270, 121 
Rio Japura, nan, nan, nan, 51, 46, 63, 55, 40 
Jutica, 175, 136, 379, 321, 153, 184, 329, 126 
Itapeua, 164, 149, 371, 285, 172, 189, 311, 134 
Anori, 160, 139, 376, 300, 165, 213, 296, 121 
Rio Purus, 51, 22, 103, 143, 38, 46, 170, 18 
Manacapuru, 148, 105, 351, 259, 146, 184, 287, 115 
Rio Negro, 7, 8, 6, 10, 5, nan, 5, 8 
Sao Jose do Amatari, nan, 109, 252, 212, 135, 133, 225, 107 
Rio Madeira, nan, 79, 619, 604, 171, 90, 771, 64 
Paura, nan, 129, 275, 279, 184, 97, 373, 138 
Obidos, nan, 145, 238, 256, 188, 88, 345, 148
